state,location,type,so2,no2,pm2_5,AQI
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,31.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,24.0,40.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,29.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,25.0,22.0,36.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,12.0,21.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,25.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,26.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,23.0,31.0,51.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,11.0,22.0,23.0,38.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,24.0,26.0,43.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,26.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,24.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,27.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,28.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,27.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,24.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,25.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,25.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,27.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,29.0,37.0,61.13793103448276
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,31.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,25.0,41.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,25.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,25.0,25.0,41.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,26.0,23.0,38.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,29.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,28.0,31.0,51.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,21.0,32.0,36.0,59.44827586206897
Dadra & Nagar Haveli,Khadoli,Industrial Area,22.0,34.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,30.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,29.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,30.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,29.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,20.0,33.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,31.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,12.0,22.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,14.0,24.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,26.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,21.0,22.0,36.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,23.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,13.0,22.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,12.0,21.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,13.0,23.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,23.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,12.0,22.0,21.0,35.0
Daman & Diu,Daman,Industrial Area,9.0,19.0,19.0,31.666666666666668
Daman & Diu,Daman,Industrial Area,11.0,20.0,22.0,36.666666666666664
Daman & Diu,Daman,Industrial Area,11.0,21.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,12.0,22.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,23.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,16.0,26.0,31.0,51.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,15.0,27.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,24.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,14.0,25.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,13.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,23.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,13.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,15.0,26.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,21.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,22.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,19.0,29.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,17.0,28.0,31.0,51.666666666666664
Daman & Diu,Daman,Industrial Area,21.0,32.0,36.0,59.44827586206897
Daman & Diu,Daman,Industrial Area,22.0,34.0,34.0,56.06896551724138
Daman & Diu,Daman,Industrial Area,19.0,30.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,17.0,29.0,32.0,52.689655172413794
Daman & Diu,Daman,Industrial Area,18.0,30.0,35.0,57.758620689655174
Daman & Diu,Daman,Industrial Area,16.0,29.0,34.0,56.06896551724138
Daman & Diu,Daman,Industrial Area,20.0,33.0,32.0,52.689655172413794
Daman & Diu,Daman,Industrial Area,19.0,31.0,30.0,50.0
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,78.0,159.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,83.0,176.10344827586206
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,146.0,320.3359375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,112.0,272.6896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,42.0,63.0,107.82758620689656
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,107.0,255.6206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,57.0,94.93103448275862
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,44.0,72.9655172413793
Delhi,Delhi,"Residential, Rural and other Areas",4.0,38.0,47.0,78.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,75.0,148.79310344827587
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,47.0,78.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,78.0,159.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,82.0,172.68965517241378
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,78.0,159.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,71.0,135.13793103448276
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,58.0,96.62068965517241
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,77.0,155.6206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,38.0,53.0,88.17241379310344
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,29.0,48.75
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,89.0,196.58620689655174
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,91.0,203.41379310344826
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,97.0,221.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,61.0,101.6896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,101.0,235.13793103448276
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,77.0,155.6206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,77.0,155.6206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,126.0,304.8671875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,76.0,152.20689655172413
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,55.0,91.55172413793103
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,42.0,69.58620689655172
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,112.0,272.6896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,100.0,231.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,82.0,172.68965517241378
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,92.0,204.41379310344828
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,85.0,182.9310344827586
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,83.0,176.10344827586206
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,42.0,69.58620689655172
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,42.0,86.0,186.3448275862069
Delhi,Delhi,"Residential, Rural and other Areas",4.0,37.0,66.0,118.06896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,52.0,86.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,36.0,59.44827586206897
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,44.0,72.9655172413793
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,32.0,57.282051282051285
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,58.0,96.62068965517241
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,65.0,114.65517241379311
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,87.0,189.75862068965517
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,28.0,54.76923076923077
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,78.0,159.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,110.0,265.8620689655172
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,71.0,135.13793103448276
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,63.0,107.82758620689656
Delhi,Delhi,"Residential, Rural and other Areas",4.0,37.0,51.0,84.79310344827587
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,99.0,228.31034482758622
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,98.0,224.89655172413794
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,76.0,152.20689655172413
Delhi,Delhi,"Residential, Rural and other Areas",4.0,42.0,154.0,326.5234375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,158.0,329.6171875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,111.0,269.2758620689655
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,115.0,282.9310344827586
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,163.0,333.484375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,56.0,93.24137931034483
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,127.0,305.640625
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,161.0,331.9375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,122.0,301.7734375
Delhi,Delhi,Industrial Area,4.0,67.0,110.0,265.8620689655172
Delhi,Delhi,Industrial Area,4.0,55.0,155.0,327.296875
Delhi,Delhi,Industrial Area,4.0,65.0,163.0,333.484375
Delhi,Delhi,Industrial Area,4.0,61.0,144.0,318.7890625
Delhi,Delhi,Industrial Area,4.0,58.0,135.0,311.828125
Delhi,Delhi,Industrial Area,4.0,62.0,101.0,235.13793103448276
Delhi,Delhi,Industrial Area,4.0,61.0,165.0,335.03125
Delhi,Delhi,Industrial Area,4.0,52.0,115.0,282.9310344827586
Delhi,Delhi,Industrial Area,4.0,61.0,170.0,338.8984375
Delhi,Delhi,Industrial Area,4.0,63.0,151.0,324.203125
Delhi,Delhi,Industrial Area,4.0,60.0,138.0,314.1484375
Delhi,Delhi,Industrial Area,4.0,62.0,154.0,326.5234375
Delhi,Delhi,Industrial Area,4.0,49.0,126.0,304.8671875
Delhi,Delhi,Industrial Area,4.0,59.0,122.0,301.7734375
Delhi,Delhi,Industrial Area,4.0,53.0,64.0,111.24137931034483
Delhi,Delhi,Industrial Area,4.0,62.0,85.0,182.9310344827586
Delhi,Delhi,Industrial Area,4.0,58.0,93.0,207.82758620689654
Delhi,Delhi,Industrial Area,4.0,62.0,71.0,135.13793103448276
Delhi,Delhi,Industrial Area,4.0,59.0,76.0,152.20689655172413
Delhi,Delhi,Industrial Area,4.0,55.0,99.0,228.31034482758622
Delhi,Delhi,Industrial Area,4.0,57.0,90.0,200.0
Delhi,Delhi,Industrial Area,4.0,54.0,84.0,179.51724137931035
Delhi,Delhi,Industrial Area,4.0,63.0,115.0,282.9310344827586
Delhi,Delhi,Industrial Area,4.0,59.0,38.0,73.61538461538461
Delhi,Delhi,Industrial Area,4.0,56.0,119.0,296.58620689655174
Delhi,Delhi,Industrial Area,4.0,51.0,74.0,145.3793103448276
Delhi,Delhi,Industrial Area,4.0,56.0,45.0,74.65517241379311
Delhi,Delhi,Industrial Area,5.0,48.0,76.0,152.20689655172413
Delhi,Delhi,Industrial Area,4.0,45.0,48.0,79.72413793103448
Delhi,Delhi,Industrial Area,4.0,44.0,49.0,81.41379310344828
Delhi,Delhi,Industrial Area,4.0,50.0,28.0,62.30769230769231
Delhi,Delhi,Industrial Area,4.0,43.0,105.0,248.79310344827587
Delhi,Delhi,Industrial Area,4.0,52.0,56.0,93.24137931034483
Delhi,Delhi,Industrial Area,4.0,45.0,39.0,64.51724137931035
Delhi,Delhi,Industrial Area,4.0,55.0,63.0,107.82758620689656
Delhi,Delhi,Industrial Area,4.0,44.0,76.0,152.20689655172413
Delhi,Delhi,Industrial Area,4.0,42.0,68.0,124.89655172413794
Delhi,Delhi,Industrial Area,4.0,49.0,39.0,64.51724137931035
Delhi,Delhi,Industrial Area,4.0,46.0,18.0,57.282051282051285
Delhi,Delhi,Industrial Area,4.0,51.0,45.0,74.65517241379311
Delhi,Delhi,Industrial Area,4.0,53.0,23.0,66.07692307692308
Delhi,Delhi,Industrial Area,4.0,45.0,32.0,56.02564102564102
Delhi,Delhi,Industrial Area,4.0,45.0,18.0,56.02564102564102
Delhi,Delhi,Industrial Area,4.0,44.0,14.0,54.76923076923077
Delhi,Delhi,Industrial Area,4.0,37.0,51.0,84.79310344827587
Delhi,Delhi,Industrial Area,4.0,57.0,34.0,71.1025641025641
Delhi,Delhi,Industrial Area,4.0,61.0,43.0,76.12820512820512
Delhi,Delhi,Industrial Area,4.0,50.0,39.0,64.51724137931035
Delhi,Delhi,Industrial Area,4.0,50.0,75.0,148.79310344827587
Delhi,Delhi,Industrial Area,4.0,44.0,81.0,169.27586206896552
Delhi,Delhi,Industrial Area,4.0,41.0,19.0,51.25
Delhi,Delhi,Industrial Area,4.0,58.0,106.0,252.20689655172413
Delhi,Delhi,Industrial Area,4.0,58.0,85.0,182.9310344827586
Delhi,Delhi,Industrial Area,4.0,50.0,72.0,138.55172413793105
Delhi,Delhi,Industrial Area,4.0,60.0,318.0,74.87179487179488
Delhi,Delhi,Industrial Area,4.0,59.0,142.0,317.2421875
Delhi,Delhi,Industrial Area,4.0,53.0,161.0,331.9375
Delhi,Delhi,Industrial Area,4.0,53.0,162.0,332.7109375
Delhi,Delhi,Industrial Area,4.0,63.0,123.0,302.546875
Delhi,Delhi,Industrial Area,4.0,64.0,148.0,321.8828125
Delhi,Delhi,Industrial Area,4.0,69.0,245.0,396.90625
Delhi,Delhi,Industrial Area,4.0,71.0,206.0,366.7421875
Delhi,Delhi,Industrial Area,4.0,61.0,151.0,324.203125
Delhi,Delhi,Industrial Area,4.0,61.0,147.0,321.109375
Delhi,Delhi,Industrial Area,4.0,59.0,152.0,324.9765625
Delhi,Delhi,Industrial Area,4.0,65.0,139.0,314.921875
Delhi,Delhi,Industrial Area,4.0,59.0,99.0,228.31034482758622
Delhi,Delhi,Industrial Area,4.0,54.0,78.0,159.0344827586207
Delhi,Delhi,Industrial Area,4.0,52.0,172.0,340.4453125
Delhi,Delhi,Industrial Area,4.0,56.0,155.0,327.296875
Delhi,Delhi,Industrial Area,4.0,61.0,107.0,255.6206896551724
Delhi,Delhi,Industrial Area,4.0,54.0,138.0,314.1484375
Delhi,Delhi,Industrial Area,4.0,59.0,64.0,111.24137931034483
Delhi,Delhi,Industrial Area,4.0,57.0,55.0,91.55172413793103
Delhi,Delhi,Industrial Area,4.0,58.0,69.0,128.31034482758622
Delhi,Delhi,Industrial Area,4.0,60.0,42.0,74.87179487179488
Delhi,Delhi,Industrial Area,4.0,50.0,62.0,104.41379310344827
Delhi,Delhi,Industrial Area,4.0,60.0,98.0,224.89655172413794
Delhi,Delhi,Industrial Area,4.0,63.0,45.0,78.64102564102564
Delhi,Delhi,Industrial Area,4.0,59.0,48.0,79.72413793103448
Delhi,Delhi,Industrial Area,4.0,52.0,64.0,111.24137931034483
Delhi,Delhi,Industrial Area,4.0,52.0,52.0,86.48275862068965
Delhi,Delhi,Industrial Area,4.0,57.0,46.0,76.34482758620689
Delhi,Delhi,Industrial Area,4.0,53.0,94.0,211.24137931034483
Delhi,Delhi,Industrial Area,4.0,53.0,97.0,221.48275862068965
Delhi,Delhi,Industrial Area,4.0,57.0,54.0,89.86206896551724
Delhi,Delhi,Industrial Area,4.0,53.0,95.0,214.6551724137931
Delhi,Delhi,Industrial Area,4.0,50.0,116.0,286.34482758620686
Delhi,Delhi,Industrial Area,4.0,46.0,129.0,307.1875
Delhi,Delhi,Industrial Area,4.0,47.0,81.0,169.27586206896552
Delhi,Delhi,Industrial Area,4.0,49.0,44.0,72.9655172413793
Delhi,Delhi,Industrial Area,4.0,47.0,78.0,159.0344827586207
Delhi,Delhi,Industrial Area,4.0,50.0,93.0,207.82758620689654
Delhi,Delhi,Industrial Area,4.0,48.0,100.0,231.72413793103448
Delhi,Delhi,Industrial Area,4.0,48.0,86.0,186.3448275862069
Delhi,Delhi,Industrial Area,4.0,54.0,45.0,74.65517241379311
Delhi,Delhi,Industrial Area,4.0,43.0,54.0,89.86206896551724
Delhi,Delhi,Industrial Area,4.0,64.0,220.0,377.5703125
Delhi,Delhi,Industrial Area,4.0,60.0,265.0,74.87179487179488
Delhi,Delhi,Industrial Area,4.0,59.0,262.0,73.61538461538461
Delhi,Delhi,Industrial Area,4.0,62.0,144.0,318.7890625
Delhi,Delhi,Industrial Area,4.0,63.0,143.0,318.015625
Delhi,Delhi,Industrial Area,4.0,67.0,210.0,369.8359375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,61.0,101.6896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,56.0,93.24137931034483
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,84.0,179.51724137931035
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,109.0,262.44827586206895
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,145.0,319.5625
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,70.0,131.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,82.0,172.68965517241378
Delhi,Delhi,"Residential, Rural and other Areas",4.0,35.0,134.0,311.0546875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,79.0,162.44827586206895
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,61.0,101.6896551724138
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,114.0,279.51724137931035
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,110.0,265.8620689655172
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,52.0,86.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,96.0,218.0689655172414
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,96.0,218.0689655172414
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,111.0,269.2758620689655
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,80.0,165.86206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,127.0,305.640625
Delhi,Delhi,"Residential, Rural and other Areas",4.0,44.0,89.0,196.58620689655174
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,72.0,138.55172413793105
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,65.0,114.65517241379311
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,68.0,124.89655172413794
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,39.0,64.51724137931035
Delhi,Delhi,"Residential, Rural and other Areas",4.0,49.0,50.0,83.10344827586206
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,48.0,79.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,117.0,289.7586206896552
Delhi,Delhi,"Residential, Rural and other Areas",4.0,49.0,58.0,96.62068965517241
Delhi,Delhi,"Residential, Rural and other Areas",4.0,49.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,60.0,118.0,293.17241379310343
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,59.0,98.3103448275862
Delhi,Delhi,"Residential, Rural and other Areas",4.0,55.0,111.0,269.2758620689655
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,98.0,224.89655172413794
Delhi,Delhi,"Residential, Rural and other Areas",4.0,55.0,74.0,145.3793103448276
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,94.0,211.24137931034483
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,56.0,93.24137931034483
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,139.0,314.921875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,67.0,121.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,93.0,207.82758620689654
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,80.0,165.86206896551724
Delhi,Delhi,"Residential, Rural and other Areas",4.0,49.0,43.0,71.27586206896552
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,93.0,207.82758620689654
Delhi,Delhi,"Residential, Rural and other Areas",4.0,54.0,103.0,241.9655172413793
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,68.0,124.89655172413794
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,79.0,162.44827586206895
Delhi,Delhi,"Residential, Rural and other Areas",4.0,54.0,142.0,317.2421875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,117.0,289.7586206896552
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,90.0,200.0
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,148.0,321.8828125
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,81.0,169.27586206896552
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,87.0,189.75862068965517
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,120.0,300.0
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,76.0,152.20689655172413
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,86.0,186.3448275862069
Delhi,Delhi,"Residential, Rural and other Areas",4.0,54.0,59.0,98.3103448275862
Delhi,Delhi,"Residential, Rural and other Areas",4.0,56.0,52.0,86.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,56.0,70.0,131.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,218.0,376.0234375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,52.0,94.0,211.24137931034483
Delhi,Delhi,"Residential, Rural and other Areas",4.0,50.0,222.0,379.1171875
Delhi,Delhi,"Residential, Rural and other Areas",12.0,45.0,84.0,179.51724137931035
Delhi,Delhi,"Residential, Rural and other Areas",9.0,49.0,194.0,357.4609375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,69.0,128.31034482758622
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,89.0,196.58620689655174
Delhi,Delhi,"Residential, Rural and other Areas",4.0,57.0,123.0,302.546875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,58.0,96.0,218.0689655172414
Delhi,Delhi,"Residential, Rural and other Areas",4.0,51.0,86.0,186.3448275862069
Delhi,Delhi,"Residential, Rural and other Areas",4.0,57.0,126.0,304.8671875
Delhi,Delhi,"Residential, Rural and other Areas",4.0,47.0,156.0,328.0703125
Delhi,Delhi,"Residential, Rural and other Areas",4.0,48.0,172.0,340.4453125
Delhi,Delhi,"Residential, Rural and other Areas",4.0,29.0,62.0,104.41379310344827
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,70.0,131.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,40.0,125.0,304.09375
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,59.0,98.3103448275862
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,84.0,179.51724137931035
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,98.0,224.89655172413794
Delhi,Delhi,"Residential, Rural and other Areas",4.0,41.0,110.0,265.8620689655172
Delhi,Delhi,"Residential, Rural and other Areas",4.0,45.0,119.0,296.58620689655174
Delhi,Delhi,"Residential, Rural and other Areas",4.0,49.0,97.0,221.48275862068965
Delhi,Delhi,"Residential, Rural and other Areas",4.0,42.0,100.0,231.72413793103448
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,93.0,207.82758620689654
Delhi,Delhi,"Residential, Rural and other Areas",4.0,53.0,61.0,101.6896551724138
