,0,1,,
0,73.829994,18.593228,,data-set of pune nashik highway
1,73.829681,18.593906,,
2,73.828719,18.595994,,
3,73.828663,18.596119,,
4,73.828538,18.596385,,
5,73.826583,18.600729,,
6,73.826004,18.601921,,
7,73.825737,18.602388,,
8,73.825438,18.60291,,
9,73.825388,18.602998,,
10,73.825186,18.603253,,
11,73.825012,18.603475,,
12,73.823967,18.60474,,
13,73.82377,18.604978,,
14,73.823491,18.605291,,
15,73.822235,18.60678,,
16,73.822072,18.606949,,
17,73.822166,18.607246,,
18,73.822235,18.607464,,
19,73.822605,18.608538,,
20,73.823483,18.611205,,
21,73.823782,18.611873,,
22,73.82436,18.613649,,
23,73.824859,18.615132,,
24,73.82544,18.61686,,
25,73.825523,18.617061,,
26,73.825658,18.617305,,
27,73.825824,18.617521,,
28,73.826077,18.617768,,
29,73.826333,18.617934,,
30,73.826637,18.618093,,
31,73.828713,18.618927,,
32,73.829203,18.619032,,
33,73.82948,18.619064,,
34,73.830016,18.619091,,
35,73.830146,18.619083,,
36,73.830349,18.61907,,
37,73.837544,18.618164,,
38,73.837874,18.618105,,
39,73.838131,18.618034,,
40,73.838478,18.617906,,
41,73.841429,18.616604,,
42,73.841732,18.61651,,
43,73.841908,18.616455,,
44,73.842719,18.616284,,
45,73.845118,18.615812,,
46,73.845311,18.615773,,
47,73.845543,18.61573,,
48,73.845955,18.615698,,
49,73.846604,18.615712,,
50,73.846969,18.615753,,
51,73.847547,18.615892,,
52,73.847882,18.616014,,
53,73.848432,18.616235,,
54,73.848742,18.61638,,
55,73.849027,18.616579,,
56,73.849178,18.616735,,
57,73.849356,18.616961,,
58,73.849509,18.617187,,
59,73.849651,18.617478,,
60,73.850239,18.618941,,
61,73.850374,18.619367,,
62,73.850647,18.620391,,
63,73.851026,18.621696,,
64,73.851113,18.622096,,
65,73.851377,18.623799,,
66,73.851463,18.624259,,
67,73.85155,18.624551,,
68,73.852164,18.626278,,
69,73.85222,18.626702,,
70,73.852188,18.62738,,
71,73.852027,18.628002,,
72,73.851947,18.62818,,
73,73.851755,18.628567,,
74,73.851115,18.629479,,
75,73.850849,18.629852,,
76,73.850749,18.629992,,
77,73.85062,18.630216,,
78,73.850528,18.630399,,
79,73.850515,18.630433,,
80,73.850431,18.630643,,
81,73.850356,18.630886,,
82,73.850331,18.630984,,
83,73.850271,18.631217,,
84,73.850108,18.631847,,
85,73.849913,18.6326,,
86,73.849895,18.632671,,
87,73.849679,18.634013,,
88,73.849668,18.634251,,
89,73.849699,18.634684,,
90,73.849726,18.634867,,
91,73.849745,18.63499,,
92,73.849886,18.635898,,
93,73.849905,18.636163,,
94,73.849874,18.637622,,
95,73.849889,18.637814,,
96,73.849932,18.638097,,
97,73.849949,18.638205,,
98,73.85004,18.6387,,
99,73.850614,18.641722,,
100,73.850632,18.641818,,
101,73.850665,18.642074,,
102,73.850672,18.642334,,
103,73.850668,18.642429,,
104,73.850662,18.64259,,
105,73.850638,18.642801,,
106,73.850521,18.643556,,
107,73.850393,18.644389,,
108,73.850294,18.64503,,
109,73.850267,18.64533,,
110,73.850265,18.645548,,
111,73.850287,18.645813,,
112,73.85033,18.646083,,
113,73.85055,18.647162,,
114,73.850561,18.647219,,
115,73.850585,18.647345,,
116,73.850609,18.647488,,
117,73.850628,18.647629,,
118,73.850636,18.64778,,
119,73.850651,18.648115,,
120,73.850626,18.64866,,
121,73.850539,18.649229,,
122,73.850486,18.649454,,
123,73.850238,18.650196,,
124,73.849798,18.651722,,
125,73.849459,18.652525,,
126,73.849312,18.652992,,
127,73.848927,18.6544,,
128,73.848841,18.6549,,
129,73.848821,18.6552,,
130,73.848823,18.655398,,
131,73.848827,18.655507,,
132,73.849068,18.657263,,
133,73.849081,18.657467,,
134,73.849067,18.657756,,
135,73.849039,18.657946,,
136,73.848939,18.658293,,
137,73.848649,18.658968,,
138,73.848536,18.659239,,
139,73.848457,18.659428,,
140,73.848373,18.659757,,
141,73.848346,18.659978,,
142,73.848337,18.660205,,
143,73.848346,18.660431,,
144,73.848465,18.661476,,
145,73.848481,18.661607,,
146,73.848524,18.661965,,
147,73.848763,18.663375,,
148,73.848778,18.663801,,
149,73.84864,18.666083,,
150,73.848657,18.666404,,
151,73.84876,18.667196,,
152,73.848782,18.667476,,
153,73.848832,18.668544,,
154,73.848771,18.669025,,
155,73.848635,18.669431,,
156,73.848573,18.669584,,
157,73.848465,18.669854,,
158,73.848391,18.670064,,
159,73.848365,18.670176,,
160,73.848312,18.670408,,
161,73.848294,18.670624,,
162,73.848295,18.670912,,
163,73.848419,18.67225,,
164,73.848499,18.672654,,
165,73.849283,18.67537,,
166,73.849574,18.67638,,
167,73.84968,18.676745,,
168,73.849713,18.676913,,
169,73.849727,18.676984,,
170,73.849741,18.677181,,
171,73.849761,18.677793,,
172,73.849751,18.678021,,
173,73.849688,18.678314,,
174,73.849603,18.678524,,
175,73.84917,18.679299,,
176,73.849105,18.67942,,
177,73.848896,18.67979,,
178,73.848555,18.680399,,
179,73.848384,18.680706,,
180,73.848285,18.680883,,
181,73.848181,18.681077,,
182,73.847935,18.681536,,
183,73.847452,18.682503,,
184,73.847389,18.682643,,
185,73.847087,18.683426,,
186,73.846858,18.68457,,
187,73.846824,18.684749,,
188,73.846756,18.685229,,
189,73.846619,18.686532,,
190,73.846593,18.686764,,
191,73.846551,18.687137,,
192,73.846497,18.687614,,
193,73.846455,18.687984,,
194,73.846397,18.688384,,
195,73.846205,18.690087,,
196,73.846184,18.690476,,
197,73.84611,18.691173,,
198,73.846141,18.691573,,
199,73.846242,18.691989,,
200,73.846384,18.692334,,
201,73.847151,18.693631,,
202,73.847244,18.693822,,
203,73.847391,18.69421,,
204,73.84744,18.694398,,
205,73.847488,18.694685,,
206,73.847646,18.69663,,
207,73.847763,18.698057,,
208,73.848035,18.701393,,
209,73.848038,18.701642,,
210,73.848008,18.701954,,
211,73.847829,18.702859,,
212,73.847801,18.703062,,
